Id,Quantity,Recipe ingredient,Name [Food],Title [Recipe],Ingredients [Recipe],Origin [Recipe]
2744, - ,"sel,",sel,Sauté de veau au curry,"700 g de sauté de veau,
2 oignons,
2 gousses d'ail,
20 cl de crème de coco,
10 cl de crème fraîche,
2 cuillères à soupe de curry en poudre,
1 cuillère à soupe de noix de coco râpée,
coriandre fraîche,
2 cuillères à soupe d'huile d'olive,
sel,
poivre.",www.unjourunerecette.fr
2745, - ,poivre.,poivre,Sauté de veau au curry,"700 g de sauté de veau,
2 oignons,
2 gousses d'ail,
20 cl de crème de coco,
10 cl de crème fraîche,
2 cuillères à soupe de curry en poudre,
1 cuillère à soupe de noix de coco râpée,
coriandre fraîche,
2 cuillères à soupe d'huile d'olive,
sel,
poivre.",www.unjourunerecette.fr
2746, - ,"250 g de riz blanc,",riz blanc,Gratin de riz aux courgettes,"250 g de riz blanc,
250 g de saumon frais,
2 courgettes,
20 g de beurre,
20 g de farine,
30 cl de lait,
3 cuillères à soupe de parmesan râpé,
sel,
poivre.",www.unjourunerecette.fr
2747, - ,"250 g de saumon frais,",saumon,Gratin de riz aux courgettes,"250 g de riz blanc,
250 g de saumon frais,
2 courgettes,
20 g de beurre,
20 g de farine,
30 cl de lait,
3 cuillères à soupe de parmesan râpé,
sel,
poivre.",www.unjourunerecette.fr
2748, - ,"2 courgettes,",courgette,Gratin de riz aux courgettes,"250 g de riz blanc,
250 g de saumon frais,
2 courgettes,
20 g de beurre,
20 g de farine,
30 cl de lait,
3 cuillères à soupe de parmesan râpé,
sel,
poivre.",www.unjourunerecette.fr
2749, - ,"20 g de beurre,",beurre,Gratin de riz aux courgettes,"250 g de riz blanc,
250 g de saumon frais,
2 courgettes,
20 g de beurre,
20 g de farine,
30 cl de lait,
3 cuillères à soupe de parmesan râpé,
sel,
poivre.",www.unjourunerecette.fr
2750, - ,"20 g de farine,",farine,Gratin de riz aux courgettes,"250 g de riz blanc,
250 g de saumon frais,
2 courgettes,
20 g de beurre,
20 g de farine,
30 cl de lait,
3 cuillères à soupe de parmesan râpé,
sel,
poivre.",www.unjourunerecette.fr
2751, - ,"30 cl de lait,",lait,Gratin de riz aux courgettes,"250 g de riz blanc,
250 g de saumon frais,
2 courgettes,
20 g de beurre,
20 g de farine,
30 cl de lait,
3 cuillères à soupe de parmesan râpé,
sel,
poivre.",www.unjourunerecette.fr
2752, - ,"3 cuillères à soupe de parmesan râpé,",parmesan,Gratin de riz aux courgettes,"250 g de riz blanc,
250 g de saumon frais,
2 courgettes,
20 g de beurre,
20 g de farine,
30 cl de lait,
3 cuillères à soupe de parmesan râpé,
sel,
poivre.",www.unjourunerecette.fr
2753, - ,"sel,",sel,Gratin de riz aux courgettes,"250 g de riz blanc,
250 g de saumon frais,
2 courgettes,
20 g de beurre,
20 g de farine,
30 cl de lait,
3 cuillères à soupe de parmesan râpé,
sel,
poivre.",www.unjourunerecette.fr
2754, - ,poivre.,poivre,Gratin de riz aux courgettes,"250 g de riz blanc,
250 g de saumon frais,
2 courgettes,
20 g de beurre,
20 g de farine,
30 cl de lait,
3 cuillères à soupe de parmesan râpé,
sel,
poivre.",www.unjourunerecette.fr
2755, - ,"250 g de riz rond,",riz rond,Risotto à la tomate,"250 g de riz rond,
3 tomates,
2 échalotes,
80 cl de bouillon de légumes,
1 petit verre de vin blanc,
75 g de parmesan râpé,
basilic frais,
huile d'olive.",www.unjourunerecette.fr
2756, - ,"3 tomates,",tomate,Risotto à la tomate,"250 g de riz rond,
3 tomates,
2 échalotes,
80 cl de bouillon de légumes,
1 petit verre de vin blanc,
75 g de parmesan râpé,
basilic frais,
huile d'olive.",www.unjourunerecette.fr
2757, - ,"2 échalotes,",échalote,Risotto à la tomate,"250 g de riz rond,
3 tomates,
2 échalotes,
80 cl de bouillon de légumes,
1 petit verre de vin blanc,
75 g de parmesan râpé,
basilic frais,
huile d'olive.",www.unjourunerecette.fr
2758, - ,"80 cl de bouillon de légumes,",bouillon de légumes,Risotto à la tomate,"250 g de riz rond,
3 tomates,
2 échalotes,
80 cl de bouillon de légumes,
1 petit verre de vin blanc,
75 g de parmesan râpé,
basilic frais,
huile d'olive.",www.unjourunerecette.fr
2759, - ,"1 petit verre de vin blanc,",vin blanc,Risotto à la tomate,"250 g de riz rond,
3 tomates,
2 échalotes,
80 cl de bouillon de légumes,
1 petit verre de vin blanc,
75 g de parmesan râpé,
basilic frais,
huile d'olive.",www.unjourunerecette.fr
2760, - ,"75 g de parmesan râpé,",parmesan,Risotto à la tomate,"250 g de riz rond,
3 tomates,
2 échalotes,
80 cl de bouillon de légumes,
1 petit verre de vin blanc,
75 g de parmesan râpé,
basilic frais,
huile d'olive.",www.unjourunerecette.fr
2761, - ,"basilic frais,",basilic,Risotto à la tomate,"250 g de riz rond,
3 tomates,
2 échalotes,
80 cl de bouillon de légumes,
1 petit verre de vin blanc,
75 g de parmesan râpé,
basilic frais,
huile d'olive.",www.unjourunerecette.fr
2762, - ,huile d'olive.,huile d'olive,Risotto à la tomate,"250 g de riz rond,
3 tomates,
2 échalotes,
80 cl de bouillon de légumes,
1 petit verre de vin blanc,
75 g de parmesan râpé,
basilic frais,
huile d'olive.",www.unjourunerecette.fr
2763, - ,"1 kg de pommes de terre,",pomme de terre,Gratin de pommes de terre aux courgettes,"1 kg de pommes de terre,
4 courgettes,
2 oignons,
1 boule de mozzarella,
60 g de gruyère râpé,
40 cl de crème fraîche liquide,
sel,
poivre,
thym.",www.unjourunerecette.fr
2764, - ,"4 courgettes,",courgette,Gratin de pommes de terre aux courgettes,"1 kg de pommes de terre,
4 courgettes,
2 oignons,
1 boule de mozzarella,
60 g de gruyère râpé,
40 cl de crème fraîche liquide,
sel,
poivre,
thym.",www.unjourunerecette.fr
2765, - ,"2 oignons,",oignon,Gratin de pommes de terre aux courgettes,"1 kg de pommes de terre,
4 courgettes,
2 oignons,
1 boule de mozzarella,
60 g de gruyère râpé,
40 cl de crème fraîche liquide,
sel,
poivre,
thym.",www.unjourunerecette.fr
2766, - ,"1 boule de mozzarella,",mozzarella,Gratin de pommes de terre aux courgettes,"1 kg de pommes de terre,
4 courgettes,
2 oignons,
1 boule de mozzarella,
60 g de gruyère râpé,
40 cl de crème fraîche liquide,
sel,
poivre,
thym.",www.unjourunerecette.fr
2767, - ,"60 g de gruyère râpé,",gruyère,Gratin de pommes de terre aux courgettes,"1 kg de pommes de terre,
4 courgettes,
2 oignons,
1 boule de mozzarella,
60 g de gruyère râpé,
40 cl de crème fraîche liquide,
sel,
poivre,
thym.",www.unjourunerecette.fr
2768, - ,"40 cl de crème fraîche liquide,",crème liquide,Gratin de pommes de terre aux courgettes,"1 kg de pommes de terre,
4 courgettes,
2 oignons,
1 boule de mozzarella,
60 g de gruyère râpé,
40 cl de crème fraîche liquide,
sel,
poivre,
thym.",www.unjourunerecette.fr
2769, - ,"sel,",sel,Gratin de pommes de terre aux courgettes,"1 kg de pommes de terre,
4 courgettes,
2 oignons,
1 boule de mozzarella,
60 g de gruyère râpé,
40 cl de crème fraîche liquide,
sel,
poivre,
thym.",www.unjourunerecette.fr
2770, - ,"poivre,",poivre,Gratin de pommes de terre aux courgettes,"1 kg de pommes de terre,
4 courgettes,
2 oignons,
1 boule de mozzarella,
60 g de gruyère râpé,
40 cl de crème fraîche liquide,
sel,
poivre,
thym.",www.unjourunerecette.fr
2771, - ,thym.,thym,Gratin de pommes de terre aux courgettes,"1 kg de pommes de terre,
4 courgettes,
2 oignons,
1 boule de mozzarella,
60 g de gruyère râpé,
40 cl de crème fraîche liquide,
sel,
poivre,
thym.",www.unjourunerecette.fr
2772, - ,"2 aubergines,",aubergine,Curry d'aubergines,"2 aubergines,
2 tomates,
1 yaourt nature,
1 oignon,
1 cuillère à café de graines de cumin,
1 cuillère à café de gingembre râpé,
1 petite gousse d’ail,
1 cuillère à soupe de curry en poudre,
coriandre fraîche ciselée,
huile,
sel.",www.unjourunerecette.fr
2773, - ,"2 tomates,",tomate,Curry d'aubergines,"2 aubergines,
2 tomates,
1 yaourt nature,
1 oignon,
1 cuillère à café de graines de cumin,
1 cuillère à café de gingembre râpé,
1 petite gousse d’ail,
1 cuillère à soupe de curry en poudre,
coriandre fraîche ciselée,
huile,
sel.",www.unjourunerecette.fr
2774, - ,"1 yaourt nature,",yaourt nature,Curry d'aubergines,"2 aubergines,
2 tomates,
1 yaourt nature,
1 oignon,
1 cuillère à café de graines de cumin,
1 cuillère à café de gingembre râpé,
1 petite gousse d’ail,
1 cuillère à soupe de curry en poudre,
coriandre fraîche ciselée,
huile,
sel.",www.unjourunerecette.fr
2775, - ,"1 oignon,",oignon,Curry d'aubergines,"2 aubergines,
2 tomates,
1 yaourt nature,
1 oignon,
1 cuillère à café de graines de cumin,
1 cuillère à café de gingembre râpé,
1 petite gousse d’ail,
1 cuillère à soupe de curry en poudre,
coriandre fraîche ciselée,
huile,
sel.",www.unjourunerecette.fr
2776, - ,"1 cuillère à café de graines de cumin,",graine de cumin,Curry d'aubergines,"2 aubergines,
2 tomates,
1 yaourt nature,
1 oignon,
1 cuillère à café de graines de cumin,
1 cuillère à café de gingembre râpé,
1 petite gousse d’ail,
1 cuillère à soupe de curry en poudre,
coriandre fraîche ciselée,
huile,
sel.",www.unjourunerecette.fr
2777, - ,"1 cuillère à café de gingembre râpé,",gingembre,Curry d'aubergines,"2 aubergines,
2 tomates,
1 yaourt nature,
1 oignon,
1 cuillère à café de graines de cumin,
1 cuillère à café de gingembre râpé,
1 petite gousse d’ail,
1 cuillère à soupe de curry en poudre,
coriandre fraîche ciselée,
huile,
sel.",www.unjourunerecette.fr
2778, - ,"1 petite gousse d’ail,",ail,Curry d'aubergines,"2 aubergines,
2 tomates,
1 yaourt nature,
1 oignon,
1 cuillère à café de graines de cumin,
1 cuillère à café de gingembre râpé,
1 petite gousse d’ail,
1 cuillère à soupe de curry en poudre,
coriandre fraîche ciselée,
huile,
sel.",www.unjourunerecette.fr
2779, - ,"1 cuillère à soupe de curry en poudre,",curry,Curry d'aubergines,"2 aubergines,
2 tomates,
1 yaourt nature,
1 oignon,
1 cuillère à café de graines de cumin,
1 cuillère à café de gingembre râpé,
1 petite gousse d’ail,
1 cuillère à soupe de curry en poudre,
coriandre fraîche ciselée,
huile,
sel.",www.unjourunerecette.fr
2780, - ,"coriandre fraîche ciselée,",coriandre,Curry d'aubergines,"2 aubergines,
2 tomates,
1 yaourt nature,
1 oignon,
1 cuillère à café de graines de cumin,
1 cuillère à café de gingembre râpé,
1 petite gousse d’ail,
1 cuillère à soupe de curry en poudre,
coriandre fraîche ciselée,
huile,
sel.",www.unjourunerecette.fr
2781, - ,"huile,",huile d'olive,Curry d'aubergines,"2 aubergines,
2 tomates,
1 yaourt nature,
1 oignon,
1 cuillère à café de graines de cumin,
1 cuillère à café de gingembre râpé,
1 petite gousse d’ail,
1 cuillère à soupe de curry en poudre,
coriandre fraîche ciselée,
huile,
sel.",www.unjourunerecette.fr
2782, - ,sel.,sel,Curry d'aubergines,"2 aubergines,
2 tomates,
1 yaourt nature,
1 oignon,
1 cuillère à café de graines de cumin,
1 cuillère à café de gingembre râpé,
1 petite gousse d’ail,
1 cuillère à soupe de curry en poudre,
coriandre fraîche ciselée,
huile,
sel.",www.unjourunerecette.fr
2783, - ,"8 pommes de terre,",pomme de terre,Gratin de pommes de terre aux champignons,"8 pommes de terre,
250 g de champignons de Paris,
2 oignons,
150 g de gruyère râpé,
15 cl de crème fraîche,
15 cl de lait,
thym,
romarin,
sel,
poivre,
beurre.",www.unjourunerecette.fr
2784, - ,"250 g de champignons de Paris,",champignon de Paris,Gratin de pommes de terre aux champignons,"8 pommes de terre,
250 g de champignons de Paris,
2 oignons,
150 g de gruyère râpé,
15 cl de crème fraîche,
15 cl de lait,
thym,
romarin,
sel,
poivre,
beurre.",www.unjourunerecette.fr
2785, - ,"2 oignons,",oignon,Gratin de pommes de terre aux champignons,"8 pommes de terre,
250 g de champignons de Paris,
2 oignons,
150 g de gruyère râpé,
15 cl de crème fraîche,
15 cl de lait,
thym,
romarin,
sel,
poivre,
beurre.",www.unjourunerecette.fr
2786, - ,"150 g de gruyère râpé,",gruyère,Gratin de pommes de terre aux champignons,"8 pommes de terre,
250 g de champignons de Paris,
2 oignons,
150 g de gruyère râpé,
15 cl de crème fraîche,
15 cl de lait,
thym,
romarin,
sel,
poivre,
beurre.",www.unjourunerecette.fr
2787, - ,"15 cl de crème fraîche,",crème fraîche,Gratin de pommes de terre aux champignons,"8 pommes de terre,
250 g de champignons de Paris,
2 oignons,
150 g de gruyère râpé,
15 cl de crème fraîche,
15 cl de lait,
thym,
romarin,
sel,
poivre,
beurre.",www.unjourunerecette.fr
2788, - ,"15 cl de lait,",lait,Gratin de pommes de terre aux champignons,"8 pommes de terre,
250 g de champignons de Paris,
2 oignons,
150 g de gruyère râpé,
15 cl de crème fraîche,
15 cl de lait,
thym,
romarin,
sel,
poivre,
beurre.",www.unjourunerecette.fr
2789, - ,"thym,",thym,Gratin de pommes de terre aux champignons,"8 pommes de terre,
250 g de champignons de Paris,
2 oignons,
150 g de gruyère râpé,
15 cl de crème fraîche,
15 cl de lait,
thym,
romarin,
sel,
poivre,
beurre.",www.unjourunerecette.fr
2790, - ,"romarin,",romarin,Gratin de pommes de terre aux champignons,"8 pommes de terre,
250 g de champignons de Paris,
2 oignons,
150 g de gruyère râpé,
15 cl de crème fraîche,
15 cl de lait,
thym,
romarin,
sel,
poivre,
beurre.",www.unjourunerecette.fr
2791, - ,"sel,",sel,Gratin de pommes de terre aux champignons,"8 pommes de terre,
250 g de champignons de Paris,
2 oignons,
150 g de gruyère râpé,
15 cl de crème fraîche,
15 cl de lait,
thym,
romarin,
sel,
poivre,
beurre.",www.unjourunerecette.fr
2792, - ,"poivre,",poivre,Gratin de pommes de terre aux champignons,"8 pommes de terre,
250 g de champignons de Paris,
2 oignons,
150 g de gruyère râpé,
15 cl de crème fraîche,
15 cl de lait,
thym,
romarin,
sel,
poivre,
beurre.",www.unjourunerecette.fr
2793, - ,beurre.,beurre,Gratin de pommes de terre aux champignons,"8 pommes de terre,
250 g de champignons de Paris,
2 oignons,
150 g de gruyère râpé,
15 cl de crème fraîche,
15 cl de lait,
thym,
romarin,
sel,
poivre,
beurre.",www.unjourunerecette.fr
2794, - ,"7 tomates ,",tomate,Gratin de légumes,"7 tomates ,
3 aubergines ,
1 grande courgette ,
3 oignons ,
2 gousses d'ail ,
4 cuillères à soupe d'huile d'olive ,
175 g de gruyère râpé ,
thym,
sel,
poivre.",www.unjourunerecette.fr
2795, - ,"3 aubergines ,",aubergine,Gratin de légumes,"7 tomates ,
3 aubergines ,
1 grande courgette ,
3 oignons ,
2 gousses d'ail ,
4 cuillères à soupe d'huile d'olive ,
175 g de gruyère râpé ,
thym,
sel,
poivre.",www.unjourunerecette.fr
2796, - ,"1 grande courgette ,",courgette,Gratin de légumes,"7 tomates ,
3 aubergines ,
1 grande courgette ,
3 oignons ,
2 gousses d'ail ,
4 cuillères à soupe d'huile d'olive ,
175 g de gruyère râpé ,
thym,
sel,
poivre.",www.unjourunerecette.fr
2797, - ,"3 oignons ,",oignon,Gratin de légumes,"7 tomates ,
3 aubergines ,
1 grande courgette ,
3 oignons ,
2 gousses d'ail ,
4 cuillères à soupe d'huile d'olive ,
175 g de gruyère râpé ,
thym,
sel,
poivre.",www.unjourunerecette.fr
2798, - ,"2 gousses d'ail ,",ail,Gratin de légumes,"7 tomates ,
3 aubergines ,
1 grande courgette ,
3 oignons ,
2 gousses d'ail ,
4 cuillères à soupe d'huile d'olive ,
175 g de gruyère râpé ,
thym,
sel,
poivre.",www.unjourunerecette.fr
2799, - ,"4 cuillères à soupe d'huile d'olive ,",huile d'olive,Gratin de légumes,"7 tomates ,
3 aubergines ,
1 grande courgette ,
3 oignons ,
2 gousses d'ail ,
4 cuillères à soupe d'huile d'olive ,
175 g de gruyère râpé ,
thym,
sel,
poivre.",www.unjourunerecette.fr
2800, - ,"175 g de gruyère râpé ,",gruyère,Gratin de légumes,"7 tomates ,
3 aubergines ,
1 grande courgette ,
3 oignons ,
2 gousses d'ail ,
4 cuillères à soupe d'huile d'olive ,
175 g de gruyère râpé ,
thym,
sel,
poivre.",www.unjourunerecette.fr
2801, - ,"thym,",thym,Gratin de légumes,"7 tomates ,
3 aubergines ,
1 grande courgette ,
3 oignons ,
2 gousses d'ail ,
4 cuillères à soupe d'huile d'olive ,
175 g de gruyère râpé ,
thym,
sel,
poivre.",www.unjourunerecette.fr
2802, - ,"sel,",sel,Gratin de légumes,"7 tomates ,
3 aubergines ,
1 grande courgette ,
3 oignons ,
2 gousses d'ail ,
4 cuillères à soupe d'huile d'olive ,
175 g de gruyère râpé ,
thym,
sel,
poivre.",www.unjourunerecette.fr
2803, - ,poivre.,poivre,Gratin de légumes,"7 tomates ,
3 aubergines ,
1 grande courgette ,
3 oignons ,
2 gousses d'ail ,
4 cuillères à soupe d'huile d'olive ,
175 g de gruyère râpé ,
thym,
sel,
poivre.",www.unjourunerecette.fr
2804, - ,1 poulet découpé en morceaux,morceau de poulet,Poulet coco facile,"1 poulet découpé en morceaux
1 chou de chine
1 igname
2 patates douces
2 tomates
2 tasses de lait de coco épais
2 oignons
2 gousses d'ail émincés",www.cuisineaz.com
2805, - ,1 chou de chine,chou chinois,Poulet coco facile,"1 poulet découpé en morceaux
1 chou de chine
1 igname
2 patates douces
2 tomates
2 tasses de lait de coco épais
2 oignons
2 gousses d'ail émincés",www.cuisineaz.com
2806, - ,1 igname,igname,Poulet coco facile,"1 poulet découpé en morceaux
1 chou de chine
1 igname
2 patates douces
2 tomates
2 tasses de lait de coco épais
2 oignons
2 gousses d'ail émincés",www.cuisineaz.com
2807, - ,2 patates douces,patate douce,Poulet coco facile,"1 poulet découpé en morceaux
1 chou de chine
1 igname
2 patates douces
2 tomates
2 tasses de lait de coco épais
2 oignons
2 gousses d'ail émincés",www.cuisineaz.com
2808, - ,2 tomates,tomate,Poulet coco facile,"1 poulet découpé en morceaux
1 chou de chine
1 igname
2 patates douces
2 tomates
2 tasses de lait de coco épais
2 oignons
2 gousses d'ail émincés",www.cuisineaz.com
2809, - ,2 tasses de lait de coco épais,lait de coco,Poulet coco facile,"1 poulet découpé en morceaux
1 chou de chine
1 igname
2 patates douces
2 tomates
2 tasses de lait de coco épais
2 oignons
2 gousses d'ail émincés",www.cuisineaz.com
2810, - ,2 oignons,oignon,Poulet coco facile,"1 poulet découpé en morceaux
1 chou de chine
1 igname
2 patates douces
2 tomates
2 tasses de lait de coco épais
2 oignons
2 gousses d'ail émincés",www.cuisineaz.com
2811, - ,2 gousses d'ail émincés,ail,Poulet coco facile,"1 poulet découpé en morceaux
1 chou de chine
1 igname
2 patates douces
2 tomates
2 tasses de lait de coco épais
2 oignons
2 gousses d'ail émincés",www.cuisineaz.com
2812, - ,4 pommes de terre,pomme de terre,Hachis parmentier végétarien fait maison,"4 pommes de terre
3 carottes
1 poireau 
1 navet
2 champignons de Paris
2 branches de céleri
persil
2 oignons
1 gousse d'ail
sauce soja
1 tranche de pain de mie
huile d'olive
sel, poivre ",www.cuisineaz.com
2813, - ,3 carottes,carotte,Hachis parmentier végétarien fait maison,"4 pommes de terre
3 carottes
1 poireau 
1 navet
2 champignons de Paris
2 branches de céleri
persil
2 oignons
1 gousse d'ail
sauce soja
1 tranche de pain de mie
huile d'olive
sel, poivre ",www.cuisineaz.com
2814, - ,1 poireau,poireau,Hachis parmentier végétarien fait maison,"4 pommes de terre
3 carottes
1 poireau 
1 navet
2 champignons de Paris
2 branches de céleri
persil
2 oignons
1 gousse d'ail
sauce soja
1 tranche de pain de mie
huile d'olive
sel, poivre ",www.cuisineaz.com
2815, - ,1 navet,navet,Hachis parmentier végétarien fait maison,"4 pommes de terre
3 carottes
1 poireau 
1 navet
2 champignons de Paris
2 branches de céleri
persil
2 oignons
1 gousse d'ail
sauce soja
1 tranche de pain de mie
huile d'olive
sel, poivre ",www.cuisineaz.com
2816, - ,2 champignons de Paris,champignon de Paris,Hachis parmentier végétarien fait maison,"4 pommes de terre
3 carottes
1 poireau 
1 navet
2 champignons de Paris
2 branches de céleri
persil
2 oignons
1 gousse d'ail
sauce soja
1 tranche de pain de mie
huile d'olive
sel, poivre ",www.cuisineaz.com
2817, - ,2 branches de céleri,céleri,Hachis parmentier végétarien fait maison,"4 pommes de terre
3 carottes
1 poireau 
1 navet
2 champignons de Paris
2 branches de céleri
persil
2 oignons
1 gousse d'ail
sauce soja
1 tranche de pain de mie
huile d'olive
sel, poivre ",www.cuisineaz.com
2818, - ,persil,persil,Hachis parmentier végétarien fait maison,"4 pommes de terre
3 carottes
1 poireau 
1 navet
2 champignons de Paris
2 branches de céleri
persil
2 oignons
1 gousse d'ail
sauce soja
1 tranche de pain de mie
huile d'olive
sel, poivre ",www.cuisineaz.com
2819, - ,2 oignons,oignon,Hachis parmentier végétarien fait maison,"4 pommes de terre
3 carottes
1 poireau 
1 navet
2 champignons de Paris
2 branches de céleri
persil
2 oignons
1 gousse d'ail
sauce soja
1 tranche de pain de mie
huile d'olive
sel, poivre ",www.cuisineaz.com
2820, - ,1 gousse d'ail,ail,Hachis parmentier végétarien fait maison,"4 pommes de terre
3 carottes
1 poireau 
1 navet
2 champignons de Paris
2 branches de céleri
persil
2 oignons
1 gousse d'ail
sauce soja
1 tranche de pain de mie
huile d'olive
sel, poivre ",www.cuisineaz.com
2821, - ,sauce soja,sauce soja,Hachis parmentier végétarien fait maison,"4 pommes de terre
3 carottes
1 poireau 
1 navet
2 champignons de Paris
2 branches de céleri
persil
2 oignons
1 gousse d'ail
sauce soja
1 tranche de pain de mie
huile d'olive
sel, poivre ",www.cuisineaz.com
2822, - ,1 tranche de pain de mie,pain de mie,Hachis parmentier végétarien fait maison,"4 pommes de terre
3 carottes
1 poireau 
1 navet
2 champignons de Paris
2 branches de céleri
persil
2 oignons
1 gousse d'ail
sauce soja
1 tranche de pain de mie
huile d'olive
sel, poivre ",www.cuisineaz.com
2823, - ,huile d'olive,huile d'olive,Hachis parmentier végétarien fait maison,"4 pommes de terre
3 carottes
1 poireau 
1 navet
2 champignons de Paris
2 branches de céleri
persil
2 oignons
1 gousse d'ail
sauce soja
1 tranche de pain de mie
huile d'olive
sel, poivre ",www.cuisineaz.com
2824, - ,"sel, poivre",poivre,Hachis parmentier végétarien fait maison,"4 pommes de terre
3 carottes
1 poireau 
1 navet
2 champignons de Paris
2 branches de céleri
persil
2 oignons
1 gousse d'ail
sauce soja
1 tranche de pain de mie
huile d'olive
sel, poivre ",www.cuisineaz.com
2825, - ,6 aubergines de taille moyenne,aubergine,Moussaka végétarienne,"6 aubergines de taille moyenne
300 g de boulgour à gros grains
3 oeufs
2 dl de fromage blanc ou crème fraîche
100 g de fromage râpé
6 branches de céleri
3 gousses d'ail
1 oignon
3 tomates
1 bouquet garni
1/2 l d'eau
huile pour friture
sel, poivre",www.cuisineaz.com
2826, - ,300 g de boulgour à gros grains,boulgour,Moussaka végétarienne,"6 aubergines de taille moyenne
300 g de boulgour à gros grains
3 oeufs
2 dl de fromage blanc ou crème fraîche
100 g de fromage râpé
6 branches de céleri
3 gousses d'ail
1 oignon
3 tomates
1 bouquet garni
1/2 l d'eau
huile pour friture
sel, poivre",www.cuisineaz.com
2827, - ,3 oeufs,oeuf,Moussaka végétarienne,"6 aubergines de taille moyenne
300 g de boulgour à gros grains
3 oeufs
2 dl de fromage blanc ou crème fraîche
100 g de fromage râpé
6 branches de céleri
3 gousses d'ail
1 oignon
3 tomates
1 bouquet garni
1/2 l d'eau
huile pour friture
sel, poivre",www.cuisineaz.com
2828, - ,2 dl de fromage blanc ou crème fraîche,crème fraîche,Moussaka végétarienne,"6 aubergines de taille moyenne
300 g de boulgour à gros grains
3 oeufs
2 dl de fromage blanc ou crème fraîche
100 g de fromage râpé
6 branches de céleri
3 gousses d'ail
1 oignon
3 tomates
1 bouquet garni
1/2 l d'eau
huile pour friture
sel, poivre",www.cuisineaz.com
2829, - ,100 g de fromage râpé,fromage râpé,Moussaka végétarienne,"6 aubergines de taille moyenne
300 g de boulgour à gros grains
3 oeufs
2 dl de fromage blanc ou crème fraîche
100 g de fromage râpé
6 branches de céleri
3 gousses d'ail
1 oignon
3 tomates
1 bouquet garni
1/2 l d'eau
huile pour friture
sel, poivre",www.cuisineaz.com
2830, - ,6 branches de céleri,céleri,Moussaka végétarienne,"6 aubergines de taille moyenne
300 g de boulgour à gros grains
3 oeufs
2 dl de fromage blanc ou crème fraîche
100 g de fromage râpé
6 branches de céleri
3 gousses d'ail
1 oignon
3 tomates
1 bouquet garni
1/2 l d'eau
huile pour friture
sel, poivre",www.cuisineaz.com
2831, - ,3 gousses d'ail,ail,Moussaka végétarienne,"6 aubergines de taille moyenne
300 g de boulgour à gros grains
3 oeufs
2 dl de fromage blanc ou crème fraîche
100 g de fromage râpé
6 branches de céleri
3 gousses d'ail
1 oignon
3 tomates
1 bouquet garni
1/2 l d'eau
huile pour friture
sel, poivre",www.cuisineaz.com
2832, - ,1 oignon,oignon,Moussaka végétarienne,"6 aubergines de taille moyenne
300 g de boulgour à gros grains
3 oeufs
2 dl de fromage blanc ou crème fraîche
100 g de fromage râpé
6 branches de céleri
3 gousses d'ail
1 oignon
3 tomates
1 bouquet garni
1/2 l d'eau
huile pour friture
sel, poivre",www.cuisineaz.com
2833, - ,3 tomates,tomate,Moussaka végétarienne,"6 aubergines de taille moyenne
300 g de boulgour à gros grains
3 oeufs
2 dl de fromage blanc ou crème fraîche
100 g de fromage râpé
6 branches de céleri
3 gousses d'ail
1 oignon
3 tomates
1 bouquet garni
1/2 l d'eau
huile pour friture
sel, poivre",www.cuisineaz.com
2834, - ,1 bouquet garni,bouquet garni,Moussaka végétarienne,"6 aubergines de taille moyenne
300 g de boulgour à gros grains
3 oeufs
2 dl de fromage blanc ou crème fraîche
100 g de fromage râpé
6 branches de céleri
3 gousses d'ail
1 oignon
3 tomates
1 bouquet garni
1/2 l d'eau
huile pour friture
sel, poivre",www.cuisineaz.com
2835, - ,1/2 l d'eau,eau,Moussaka végétarienne,"6 aubergines de taille moyenne
300 g de boulgour à gros grains
3 oeufs
2 dl de fromage blanc ou crème fraîche
100 g de fromage râpé
6 branches de céleri
3 gousses d'ail
1 oignon
3 tomates
1 bouquet garni
1/2 l d'eau
huile pour friture
sel, poivre",www.cuisineaz.com
2836, - ,huile pour friture,huile de friture,Moussaka végétarienne,"6 aubergines de taille moyenne
300 g de boulgour à gros grains
3 oeufs
2 dl de fromage blanc ou crème fraîche
100 g de fromage râpé
6 branches de céleri
3 gousses d'ail
1 oignon
3 tomates
1 bouquet garni
1/2 l d'eau
huile pour friture
sel, poivre",www.cuisineaz.com
2837, - ,"sel, poivre",poivre,Moussaka végétarienne,"6 aubergines de taille moyenne
300 g de boulgour à gros grains
3 oeufs
2 dl de fromage blanc ou crème fraîche
100 g de fromage râpé
6 branches de céleri
3 gousses d'ail
1 oignon
3 tomates
1 bouquet garni
1/2 l d'eau
huile pour friture
sel, poivre",www.cuisineaz.com
2838, - ,1 chou frisé,chou kale,Chou farci ,"1 chou frisé
400 g de viande hachée (boeuf ou porc ou veau selon vos goûts)
200 g de jambon de pays
125 g de lard de poitrine fumée
1 carotte
3 oignons
2 échalotes
1 gousse d'ail
1 bouquet de persil
1 botte de ciboulette
2 branches de thym
1 feuille de laurier
25 cl de vin blanc
25 cl de bouillon de volaille
100 g de mie de pain
1/2 l de lait
2 oeufs
1 noisette de beurre
sel, poivre",www.cuisineaz.com
